datetime,thermo.depth,EpiTemp,HypoTemp
1995-08-09,6.448779236050043,27.1665966816035,13.4329563300803
1995-08-10,6.470711431799354,27.023924270943,13.4330299496922
1995-08-11,6.477904117187896,27.3173246696676,13.4331063272314
1995-08-12,6.456388098978068,27.8252986000124,13.4331591306029
1995-08-13,6.443616924824019,27.9691388078487,13.4332091000072
1995-08-14,6.388939429039705,28.310799201459,13.4332953561288
1995-08-15,6.367100619230964,28.7488057022298,13.4333720991933
1995-08-16,6.370931958755277,28.2124586555945,13.4335180826372
1995-08-17,6.398371677939244,27.7043614350861,13.4337381054741
1995-08-18,6.420811260568034,27.7268251947165,13.4337612810233
1995-08-19,6.409902328072015,27.8426179384864,13.4336353994014
1995-08-20,6.4069354098616556,27.9284859552624,13.4337427379964
1995-08-21,6.450989896802869,27.8215769662743,13.4337865967006
